Subgrupo proced.,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024
0301 Consultas / Atendimentos / Acompanhamentos,41,42,39,22,9,5,10,2,-,-,-,14,-,-,-,-
0303 Tratamentos clinicos (outras especialidades),758,982,775,348,95,27,65,32,7,-,-,47,65,2,-,-
0304 Tratamento em oncologia,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0305 Tratamento em nefrologia,36,18,1,2,-,-,1,-,1,-,-,1,1,-,-,-
"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas",6,35,48,41,5,4,6,-,-,-,-,1,4,1,-,-
0310 Parto e nascimento,271,222,157,120,94,9,43,64,31,56,62,43,44,44,23,20
"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa",9,25,35,29,19,-,1,-,1,-,-,-,-,-,-,-
"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco",1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0406 Cirurgia do aparelho circulatorio,14,173,99,113,41,-,-,-,-,-,-,-,-,-,-,-
"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal",376,274,327,345,336,-,124,129,133,-,-,-,-,-,-,-
0408 Cirurgia do sistema osteomuscular,-,1,5,3,-,-,-,-,-,-,-,-,-,-,-,-
0409 Cirurgia do aparelho geniturinario,248,216,222,248,198,-,68,45,30,-,-,-,-,-,-,-
0410 Cirurgia de mama,9,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
0411 Cirurgia obstetrica,11,77,119,157,66,-,131,179,461,-,-,-,-,-,-,-
0413 Cirurgia reparadora,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0415 Outras cirurgias,1,14,19,28,10,-,-,-,-,-,-,-,-,-,-,-
